y_over_delta,u,u_over_ubulk
0.0000000000000000e+00,-5.7547981259540090e-05,-5.7634999571178091e-05
2.5000000000000001e-03,1.3874928210982990e-01,1.3895908492143036e-01
5.0000000000000001e-03,2.7755611220091936e-01,2.7797580484243190e-01
7.4999999999999997e-03,4.1636294229200882e-01,4.1699252476343346e-01
1.0000000000000000e-02,5.5516977238309828e-01,5.5600924468443502e-01
1.2500000000000001e-02,6.0349981392187435e-01,6.0441236608672766e-01
1.4999999999999999e-02,6.2437482996891058e-01,6.2531894724885695e-01
1.7500000000000002e-02,6.4524984601594682e-01,6.4622552841098613e-01
2.0000000000000000e-02,6.6612486206298305e-01,6.6713210957311542e-01
2.2499999999999999e-02,6.8226216817826413e-01,6.8329381691154634e-01
2.5000000000000001e-02,6.9427156861043116e-01,6.9532137676002159e-01
2.7500000000000000e-02,7.0628096904259818e-01,7.0734893660849696e-01
2.9999999999999999e-02,7.1829036947476532e-01,7.1937649645697233e-01
3.2500000000000001e-02,7.2894848037129023e-01,7.3005072348468325e-01
3.5000000000000003e-02,7.3647728918527533e-01,7.3759091661167631e-01
3.7499999999999999e-02,7.4400609799926043e-01,7.4513110973866947e-01
4.0000000000000001e-02,7.5153490681324575e-01,7.5267130286566275e-01
4.2500000000000003e-02,7.5898339615153532e-01,7.6013105506586831e-01
4.4999999999999998e-02,7.6534448335733263e-01,7.6650176087264377e-01
4.7500000000000001e-02,7.7170557056312994e-01,7.7287246667941922e-01
5.0000000000000003e-02,7.7806665776892725e-01,7.7924317248619457e-01
5.2499999999999998e-02,7.8442774497472445e-01,7.8561387829296991e-01
5.5000000000000000e-02,7.8958521132006498e-01,7.9077914324399357e-01
5.7500000000000002e-02,7.9450652420544210e-01,7.9570789764736927e-01
5.9999999999999998e-02,7.9942783709081944e-01,8.0063665205074519e-01
6.2500000000000000e-02,8.0434914997619678e-01,8.0556540645412122e-01
6.5000000000000002e-02,8.0880933574562475e-01,8.1003233647116224e-01
6.7500000000000004e-02,8.1296614841245463e-01,8.1419543465508837e-01
7.0000000000000007e-02,8.1712296107928428e-01,8.1835853283901439e-01
7.2499999999999995e-02,8.2127977374611416e-01,8.2252163102294051e-01
7.4999999999999997e-02,8.2524477668160312e-01,8.2649262944000035e-01
7.7499999999999999e-02,8.2888370307381287e-01,8.3013705825338802e-01
