# y_over_delta u_over_ubulk
0.0000000000000000e+00 -5.7634999571178091e-05
2.5000000000000001e-03 1.3895908492143036e-01
5.0000000000000001e-03 2.7797580484243190e-01
7.4999999999999997e-03 4.1699252476343346e-01
1.0000000000000000e-02 5.5600924468443502e-01
1.2500000000000001e-02 6.0441236608672766e-01
1.4999999999999999e-02 6.2531894724885695e-01
1.7500000000000002e-02 6.4622552841098613e-01
2.0000000000000000e-02 6.6713210957311542e-01
2.2499999999999999e-02 6.8329381691154634e-01
2.5000000000000001e-02 6.9532137676002159e-01
2.7500000000000000e-02 7.0734893660849696e-01
2.9999999999999999e-02 7.1937649645697233e-01
3.2500000000000001e-02 7.3005072348468325e-01
3.5000000000000003e-02 7.3759091661167631e-01
3.7499999999999999e-02 7.4513110973866947e-01
4.0000000000000001e-02 7.5267130286566275e-01
4.2500000000000003e-02 7.6013105506586831e-01
4.4999999999999998e-02 7.6650176087264377e-01
4.7500000000000001e-02 7.7287246667941922e-01
5.0000000000000003e-02 7.7924317248619457e-01
5.2499999999999998e-02 7.8561387829296991e-01
5.5000000000000000e-02 7.9077914324399357e-01
5.7500000000000002e-02 7.9570789764736927e-01
5.9999999999999998e-02 8.0063665205074519e-01
6.2500000000000000e-02 8.0556540645412122e-01
6.5000000000000002e-02 8.1003233647116224e-01
6.7500000000000004e-02 8.1419543465508837e-01
7.0000000000000007e-02 8.1835853283901439e-01
7.2499999999999995e-02 8.2252163102294051e-01
7.4999999999999997e-02 8.2649262944000035e-01
7.7499999999999999e-02 8.3013705825338802e-01
8.0000000000000002e-02 8.3378148706677557e-01
8.2500000000000004e-02 8.3742591588016335e-01
8.5000000000000006e-02 8.4100849732092686e-01
8.7500000000000008e-02 8.4420334331024038e-01
8.9999999999999997e-02 8.4739818929955379e-01
9.2499999999999999e-02 8.5059303528886721e-01
9.5000000000000001e-02 8.5378788127818062e-01
9.7500000000000003e-02 8.5667030604378580e-01
1.0000000000000001e-01 8.5951984436479012e-01
1.0250000000000001e-01 8.6236938268579444e-01
1.0500000000000000e-01 8.6521892100679865e-01
1.0750000000000000e-01 8.6788616774072513e-01
1.1000000000000000e-01 8.7046442173135385e-01
1.1250000000000000e-01 8.7304267572198246e-01
1.1500000000000000e-01 8.7562092971261130e-01
1.1750000000000001e-01 8.7810281179545524e-01
1.2000000000000000e-01 8.8046161650209231e-01
1.2250000000000000e-01 8.8282042120872928e-01
1.2500000000000000e-01 8.8517922591536624e-01
1.2750000000000000e-01 8.8749849940264580e-01
1.3000000000000000e-01 8.8966572973855007e-01
1.3250000000000001e-01 8.9183296007445423e-01
1.3500000000000001e-01 8.9400019041035839e-01
1.3750000000000001e-01 8.9616742074626266e-01
1.4000000000000001e-01 8.9818009904723461e-01
1.4250000000000002e-01 9.0018857756464876e-01
1.4499999999999999e-01 9.0219705608206291e-01
1.4749999999999999e-01 9.0420553459947706e-01
1.4999999999999999e-01 9.0611017541863959e-01
1.5250000000000000e-01 9.0797847304341406e-01
1.5500000000000000e-01 9.0984677066818864e-01
1.5750000000000000e-01 9.1171506829296312e-01
1.6000000000000000e-01 9.1352372139425186e-01
1.6250000000000001e-01 9.1527459386341370e-01
1.6500000000000001e-01 9.1702546633257565e-01
1.6750000000000001e-01 9.1877633880173748e-01
1.7000000000000001e-01 9.2049753471069717e-01
1.7250000000000001e-01 9.2214054429758563e-01
1.7500000000000002e-01 9.2378355388447397e-01
1.7749999999999999e-01 9.2542656347136221e-01
1.7999999999999999e-01 9.2706567253318395e-01
1.8250000000000000e-01 9.2861653221537110e-01
1.8500000000000000e-01 9.3016739189755826e-01
1.8750000000000000e-01 9.3171825157974542e-01
1.9000000000000000e-01 9.3326911126193257e-01
1.9250000000000000e-01 9.3474990568757044e-01
1.9500000000000001e-01 9.3621421417049044e-01
1.9750000000000001e-01 9.3767852265341067e-01
2.0000000000000001e-01 9.3914283113633079e-01
2.0250000000000001e-01 9.4056507073633333e-01
2.0500000000000002e-01 9.4195643409199281e-01
2.0750000000000002e-01 9.4334779744765240e-01
2.0999999999999999e-01 9.4473916080331177e-01
2.1249999999999999e-01 9.4610648736362379e-01
2.1500000000000000e-01 9.4742795911435007e-01
2.1750000000000000e-01 9.4874943086507635e-01
2.2000000000000000e-01 9.5007090261580263e-01
2.2250000000000000e-01 9.5138560901199165e-01
2.2500000000000001e-01 9.5264619257188365e-01
2.2750000000000001e-01 9.5390677613177555e-01
2.3000000000000001e-01 9.5516735969166744e-01
2.3250000000000001e-01 9.5642794325155933e-01
2.3500000000000001e-01 9.5763842015405887e-01
2.3750000000000002e-01 9.5884195456788379e-01
2.3999999999999999e-01 9.6004548898170861e-01
2.4249999999999999e-01 9.6124902339553342e-01
2.4500000000000000e-01 9.6241874509359382e-01
2.4750000000000000e-01 9.6356989751332467e-01
2.5000000000000000e-01 9.6472104993305563e-01
2.5250000000000000e-01 9.6587220235278648e-01
2.5500000000000000e-01 9.6700358072531978e-01
2.5750000000000001e-01 9.6810681910761043e-01
2.6000000000000001e-01 9.6921005748990086e-01
2.6250000000000001e-01 9.7031329587219139e-01
