y_over_delta,y_plus,u_plus
0.0000000000000000e+00,0.0000000000000000e+00,-5.1574671813705434e-03
2.5000000000000001e-03,2.7895466532201620e+00,1.2434751893256761e+01
5.0000000000000001e-03,5.5790933064403241e+00,2.4874661253694892e+01
7.4999999999999997e-03,8.3686399596604861e+00,3.7314570614133025e+01
1.0000000000000000e-02,1.1158186612880648e+01,4.9754479974571161e+01
1.2500000000000001e-02,1.3947733266100812e+01,5.4085832658974688e+01
1.4999999999999999e-02,1.6737279919320972e+01,5.5956657800305337e+01
1.7500000000000002e-02,1.9526826572541136e+01,5.7827482941635992e+01
2.0000000000000000e-02,2.2316373225761296e+01,5.9698308082966641e+01
2.2499999999999999e-02,2.5105919878981460e+01,6.1144538252361073e+01
2.5000000000000001e-02,2.7895466532201624e+01,6.2220824287791217e+01
2.7500000000000000e-02,3.0685013185421784e+01,6.3297110323221361e+01
2.9999999999999999e-02,3.3474559838641945e+01,6.4373396358651519e+01
3.2500000000000001e-02,3.6264106491862108e+01,6.5328579424349797e+01
3.5000000000000003e-02,3.9053653145082272e+01,6.6003313507511137e+01
3.7499999999999999e-02,4.1843199798302429e+01,6.6678047590672477e+01
4.0000000000000001e-02,4.4632746451522593e+01,6.7352781673833832e+01
4.2500000000000003e-02,4.7422293104742756e+01,6.8020317501715681e+01
4.4999999999999998e-02,5.0211839757962920e+01,6.8590400027352445e+01
4.7500000000000001e-02,5.3001386411183084e+01,6.9160482552989208e+01
5.0000000000000003e-02,5.5790933064403248e+01,6.9730565078625972e+01
5.2499999999999998e-02,5.8580479717623405e+01,7.0300647604262721e+01
5.5000000000000000e-02,6.1370026370843568e+01,7.0762861270718787e+01
5.7500000000000002e-02,6.4159573024063732e+01,7.1203910793917842e+01
5.9999999999999998e-02,6.6949119677283889e+01,7.1644960317116926e+01
6.2500000000000000e-02,6.9738666330504060e+01,7.2086009840315995e+01
6.5000000000000002e-02,7.2528212983724217e+01,7.2485733014355702e+01
6.7500000000000004e-02,7.5317759636944388e+01,7.2858267800790571e+01
7.0000000000000007e-02,7.8107306290164544e+01,7.3230802587225412e+01
7.2499999999999995e-02,8.0896852943384687e+01,7.3603337373660281e+01
7.4999999999999997e-02,8.3686399596604858e+01,7.3958682114974422e+01
7.7499999999999999e-02,8.6475946249825029e+01,7.4284803779583356e+01
8.0000000000000002e-02,8.9265492903045185e+01,7.4610925444192290e+01
8.2500000000000004e-02,9.2055039556265356e+01,7.4937047108801238e+01
8.5000000000000006e-02,9.4844586209485513e+01,7.5257634362081362e+01
8.7500000000000008e-02,9.7634132862705684e+01,7.5543525113569402e+01
