y_over_delta,u,v,pressure,temp,scalar_1,scalar_2,u_over_ubulk,y_plus,u_plus
0.0000000000000000e+00,-6.9458923647966825e-05,-5.2312618621923522e-12,-4.5826212937882554e-09,0.0000000000000000e+00,-8.0408382327656445e-07,1.1177903667882070e-06,-6.9564038016866822e-05,0.0000000000000000e+00,-6.2237653103422554e-03
2.5000000000000001e-03,1.3878827486150988e-01,1.3712949294739639e-11,-4.5086136327798096e-09,0.0000000000000000e+00,1.2656377534654927e-03,5.6983118062160967e-03,1.3899830751327863e-01,2.7900683984879868e+00,1.2435920472122024e+01
5.0000000000000001e-03,2.7764600864666777e-01,3.2657160451671617e-11,-4.4346059717713646e-09,0.0000000000000000e+00,2.5320795907542619e-03,1.1395505822065404e-02,2.7806617906457420e-01,5.5801367969759736e+00,2.4878064709554398e+01
7.4999999999999997e-03,4.1650374243182553e-01,5.1601371608603607e-11,-4.3605983107629179e-09,0.0000000000000000e+00,3.7985214280430307e-03,1.7092699837914713e-02,4.1713405061586961e-01,8.3702051954639600e+00,3.7320208946986753e+01
1.0000000000000000e-02,5.5536147621698340e-01,7.0545582765535572e-11,-4.2865906497544729e-09,0.0000000000000000e+00,5.0649632653318004e-03,2.2789893853764020e-02,5.5620192216716513e-01,1.1160273593951947e+01,4.9762353184419126e+01
1.2500000000000001e-02,6.0370634063933326e-01,1.6136813296403011e-10,-4.2126726331017888e-09,0.0000000000000000e+00,5.4203928038122594e-03,2.9170856999143641e-02,6.0461994838999245e-01,1.3950341992439936e+01,5.4094224084837663e+01
1.4999999999999999e-02,6.2458523091020690e-01,2.7400204121651454e-10,-4.1387818188742993e-09,0.0000000000000000e+00,5.4993772309301636e-03,3.5759308707966966e-02,6.2553043534072938e-01,1.6740410390927920e+01,5.5965046524368937e+01
1.7500000000000002e-02,6.4546412118108065e-01,3.8663594946899913e-10,-4.0648910046468090e-09,0.0000000000000000e+00,5.5783616580480661e-03,4.2347760416790295e-02,6.4644092229146644e-01,1.9530478789415909e+01,5.7835868963900218e+01
2.0000000000000000e-02,6.6634301145195440e-01,4.9926985772148351e-10,-3.9910001904193196e-09,0.0000000000000000e+00,5.6573460851659704e-03,4.8936212125613623e-02,6.6735140924220349e-01,2.2320547187903895e+01,5.9706691403431506e+01
2.2499999999999999e-02,6.8248702782197324e-01,5.3008246659031854e-10,-3.8970479355804631e-09,0.0000000000000000e+00,5.6909183969265477e-03,5.5685942319406614e-02,6.8351985685882277e-01,2.5110615586391884e+01,6.1153252389066097e+01
