iter,dt,residual,res_u,res_k,res_w,U_bulk,tau_wall,u_max,k_min,k_max,omega_min,omega_max,nu_t_nu_max
10,1.6105100000000005e-03,6.4556834578923084e-02,6.0040320460318878e-03,6.4556834578923084e-02,4.2714232203153076e-03,1.5002285558183406e+01,1.1918235435973147e-01,2.2705291181057355e+01,1.0000000000000002e-10,3.1232877046196044e+00,1.0559379301196291e+01,3.5909221484713780e+04,6.6459626443035958e+01
20,1.6105100000000005e-03,3.6351029363242832e-02,5.1645389573872864e-03,3.6351029363242832e-02,2.5184768620092565e-04,1.5040050808495240e+01,1.9273056192156432e-01,2.2454482186221821e+01,1.0000000000000002e-10,4.5571850883477847e+00,1.1650819776064635e+01,3.5909221484265574e+04,6.9223805014485379e+01
30,1.6105100000000005e-03,2.3036812362151323e-02,4.6056874972146382e-03,2.3036812362151323e-02,2.9549265514920654e-04,1.5073790671728529e+01,2.9502486967583569e-01,2.2331648730878744e+01,1.0000000000000002e-10,5.6719787915693010e+00,1.2008560929446700e+01,3.5909221484826572e+04,8.1251775374959507e+01
40,1.6105100000000005e-03,1.5580378879838673e-02,4.0500163456088714e-03,1.5580378879838673e-02,3.0057567055089679e-04,1.5102682112187059e+01,4.0624286859448888e-01,2.2205859299045279e+01,1.0000000000000002e-10,6.4541351089928911e+00,1.2327177371063096e+01,3.5909221484591675e+04,9.2082994628930464e+01
50,1.6105100000000005e-03,1.0942071476366068e-02,3.5438035786273820e-03,1.0942071476366068e-02,2.7872538458002441e-04,1.5126732384528875e+01,5.1024561169068550e-01,2.2069771143529223e+01,1.0000000000000002e-10,7.0108184275170551e+00,1.2292193201923947e+01,3.5909221486956034e+04,9.9299380662534944e+01
60,1.6105100000000005e-03,7.8906263495121687e-03,3.0983281486653478e-03,7.8906263495121687e-03,2.4896203416276770e-04,1.5146437722401267e+01,6.0090566148105307e-01,2.1914663730623573e+01,1.0000000000000002e-10,7.3785879486098720e+00,1.2181766068364286e+01,3.5909221486851886e+04,1.0629402910100370e+02
70,1.6105100000000005e-03,5.7829797964926337e-03,2.7185315110552334e-03,5.7829797964926337e-03,2.1966204362604925e-04,1.5162415252451577e+01,6.7787791438786071e-01,2.1758824107823706e+01,1.0000000000000002e-10,7.6131627703164071e+00,1.2186802004454737e+01,3.5909221486797549e+04,1.1146068613217570e+02
80,1.6105100000000005e-03,4.3193677120096311e-03,2.2133229766576191e-03,4.3193677120096311e-03,1.8112518760206940e-04,1.5174456177482730e+01,7.3889279598386570e-01,2.1578250312100277e+01,1.0000000000000002e-10,7.7475910820895368e+00,1.2249203660442651e+01,3.5909221486637878e+04,1.1746513883369580e+02
90,1.6105100000000005e-03,3.3136445531628581e-03,1.9902155074505109e-03,3.3136445531628581e-03,1.5750676519814703e-04,1.5184001189619185e+01,7.9006164366836396e-01,2.1361805460030183e+01,1.0000000000000002e-10,7.8078195482443906e+00,1.2330765415977869e+01,3.5909221486698647e+04,1.2127018568012824e+02
100,1.6105100000000005e-03,2.6241411521939705e-03,1.7984323894315939e-03,2.6241411521939705e-03,1.3854971585482465e-04,1.5191629362520240e+01,8.3346811749967409e-01,2.1105884293748723e+01,1.0000000000000002e-10,7.8181952529005247e+00,1.2470608205745176e+01,3.5909221486954310e+04,1.2325456989246442e+02
